VEHICLE_CLASS,ENGINE_SIZE_L_,FuelConsCity,FuelConsHwy,CityMPG,HwyMPG,CO2
SUV - STAND,3.6,12.7,8.4,22,34,248
SUV - STAND,3.6,13,8.6,22,33,253
SUV - SMALL,1.4,8.2,6,34,47,166
SUV - SMALL,1.4,8.9,6.7,32,42,182
MID-SIZE,3.6,12.2,7.3,23,39,230
MID-SIZE,3.6,12.2,7.5,23,38,232
MID-SIZE,2.4,8.3,5.4,34,52,161
MID-SIZE,2.4,8.3,5.4,34,52,161
COMPACT,2.4,9.9,6.2,29,46,191
COMPACT,2.5,9.2,6,31,47,179
COMPACT,3.6,11.3,7.1,25,40,216
COMPACT,3.6,11.6,7.6,24,37,225
MID-SIZE,3.6,11.7,7.3,24,39,223
MID-SIZE,3.6,11.8,7.6,24,37,228
MID-SIZE,3.6,11.4,6.9,25,41,216
MID-SIZE,3.6,11.6,7.6,24,37,225
STATION WAG,3,11.2,7.5,25,38,218
STATION WAG,3.6,11.8,7.5,24,38,225
STATION WAG,3,11.3,7.7,25,37,223
STATION WAG,3.6,11.8,7.6,24,37,228
SUV - STAND,3.6,12.7,8.3,22,34,246
SUV - STAND,3.6,13.2,8.8,21,32,258
FULL-SIZE,3.6,12.1,7.2,23,39,228
FULL-SIZE,3.6,12.5,7.7,23,37,237
COMPACT,3.6,11.7,7.3,24,39,223
COMPACT,3.6,12.6,7.2,22,39,235
COMPACT,3.6,11.2,6.6,25,43,209
MID-SIZE,1.4,7.8,5.2,36,54,152
MID-SIZE,1.4,7.8,5.2,36,54,152
MID-SIZE,1.8,9.2,5.6,31,50,175
MID-SIZE,1.8,8.2,5.4,34,52,159
MID-SIZE,1.4,7.8,5,36,56,150
MID-SIZE,1.4,7.2,4.6,39,61,138
SUV - SMALL,2.4,9.2,6.1,31,46,179
SUV - SMALL,3.6,12.4,8.1,23,35,242
SUV - SMALL,2.4,10.1,6.9,28,41,200
SUV - SMALL,3.6,13.2,8.4,21,34,253
VAN - CARGO,4.3,15.4,10.8,18,26,306
VAN - CARGO,5.3,16.2,11.4,17,25,324
VAN - CARGO,5.3,16.5,12.1,17,23,334
VAN - CARGO,5.3,16.8,11.9,17,24,336
VAN - CARGO,5.3,16.5,12.1,17,23,334
VAN - PASSE,5.3,16.8,11.9,17,24,336
VAN - PASSE,5.3,16.5,12.1,17,23,334
VAN - PASSE,4.8,19.1,12.1,15,23,368
VAN - PASSE,6,19.9,12.8,14,22,384
VAN - PASSE,4.8,19.3,12.2,15,23,370
VAN - PASSE,6,20.1,12.8,14,22,386
FULL-SIZE,2.5,9.9,6.3,29,45,191
FULL-SIZE,3.6,11.1,6.9,25,41,212
FULL-SIZE,2.4,8.7,5.8,32,49,170
MID-SIZE,2.5,8,5.3,35,53,156
SUV - SMALL,2.4,10.8,7.2,26,39,212
SUV - SMALL,2.4,10.4,7,27,40,205
PICKUP TRUC,4.3,11.9,8.4,24,34,239
PICKUP TRUC,5.3,13,8.7,22,32,253
PICKUP TRUC,4.3,12.6,9,22,31,253
PICKUP TRUC,5.3,13.3,9,21,31,262
COMPACT,1.4,7.8,5.6,36,50,156
COMPACT,1.4,7.3,5.1,39,55,145
COMPACT,1.8,8.3,5.5,34,51,163
COMPACT,1.8,7.7,5.6,37,50,156
MID-SIZE,1.4,7.8,5.6,36,50,156
MID-SIZE,1.4,7.3,5.1,39,55,145
MID-SIZE,1.8,8.3,5.5,34,51,163
MID-SIZE,1.8,7.7,5.6,37,50,156
MID-SIZE,1.4,8.1,5.8,35,49,163
MID-SIZE,1.4,7.5,5.8,38,49,154
COMPACT,1.4,8.1,5.8,35,49,163
COMPACT,1.4,7.5,5.8,38,49,154
SUBCOMPACT,1.2,6.5,5,43,56,136
SUBCOMPACT,1.2,6.4,5,44,56,131
SUV - STAND,5.3,14.3,9.4,20,30,278
SUV - STAND,5.3,14.3,9.4,20,30,278
SUV - STAND,5.3,14.3,9.4,20,30,278
SUV - STAND,5.3,14.3,9.4,20,30,278
SUV - STAND,3.6,12.7,8.4,22,34,248
SUV - STAND,3.6,13,8.6,22,33,253
SUV - SMALL,1.4,8.1,5.9,35,48,163
SUV - SMALL,1.4,7.8,5.7,36,50,156
SUV - SMALL,1.4,8.7,6.5,32,43,177
FULL-SIZE,3.6,10.9,6.4,26,44,205
COMPACT,2.4,10.3,6.9,27,41,202
COMPACT,2.4,11.5,6.8,25,42,214
COMPACT,3.6,11,6.8,26,42,209
MID-SIZE,2.4,9.9,6.7,29,42,193
MID-SIZE,2.4,10.5,6.4,27,44,200
MID-SIZE,3.6,11,6.8,26,42,209
FULL-SIZE,5.7,14.1,7.8,20,36,260
FULL-SIZE,3.6,11.4,7.3,25,39,218
FULL-SIZE,5.7,14.4,8.5,20,33,269
FULL-SIZE,3.6,11.4,7.3,25,39,218
FULL-SIZE,3.6,10.9,6.4,26,44,205
MINIVAN,3.6,12.5,8,23,35,242
MID-SIZE,2.4,9.9,6.7,29,42,193
MID-SIZE,2.4,10.5,6.4,27,44,200
MID-SIZE,3.6,11,6.8,26,42,209
MID-SIZE,3.6,11.7,7.3,24,39,223
MID-SIZE,5.7,14,8.5,20,33,264
MID-SIZE,5.7,14.1,7.8,20,36,260
FULL-SIZE,3.6,11.7,7.3,24,39,223
FULL-SIZE,3.6,10.9,6.4,26,44,205
FULL-SIZE,5.7,14.1,7.8,20,36,260
FULL-SIZE,3.6,11.4,7.3,25,39,218
